NAME,PRICE,IMAGE,DETAILS,STOCK
"Ilford HP5 Plus Black and White Negative Film (35mm Roll Film, 36 Exposures)",8.95,https://static.bhphoto.com/images/images345x345/1657730125_24744.jpg,"Panchromatic B&W Negative Film,ISO 400/27° in Standard Process,Wide Exposure Latitude, Medium Contrast,Ideal for Mixed Lighting and General Use",In Stock
"Kodak Professional Ektar 100 Color Negative Film (35mm Roll Film, 36 Exposures)",14.99,https://static.bhphoto.com/images/images345x345/1268816560_585497.jpg,"Daylight-Balanced Color Negative Film,ISO 100/21° in C-41 Process,Extremely Fine Grain Structure,Vivid Color Saturation, High Sharpness",In Stock
"CineStill Film 800Tungsten Xpro C-41 Color Negative Film (35mm Roll Film, 36 Exposures)",14.99,https://static.bhphoto.com/images/images345x345/1398341110_1046360.jpg,"Tungsten-Balanced Color Negative Film,ISO 800/30° in C-41 or ECN-2 Process,Motion Picture Film Stock,Premoval of Rem-Jet Layer",In Stock
"Kodak GOLD 200 Color Negative Film (35mm Roll Film, 36 Exposures)",9.99,https://static.bhphoto.com/images/images345x345/1420805159_27712.jpg,"Daylight-Balanced Color Negative Film,ISO 200/24° in C-41 Process,Fine Grain and High Sharpness,Wide Exposure Latitude",In Stock
"Kodak Professional Portra 800 Color Negative Film (35mm Roll Film, 36 Exposures)",17.95,https://static.bhphoto.com/images/images345x345/1603371948_197191.jpg,"Daylight-Balanced Color Negative Film,ISO 800/30° in C-41 Process,Fine Grain, High Sharpness & Edge Detail,Vivid Color Saturation, Low Contrast",In Stock
"Kodak ColorPlus 200 Color Negative Film (35mm Roll Film, 36 Exposures)",9.99,https://static.bhphoto.com/images/images345x345/1557138072_1476366.jpg,"Daylight-Balanced Color Negative Film,ISO 200/24° in C-41 Process,Fine Grain and High Sharpness,Wide Exposure Latitude",In Stock
"Kodak GC/UltraMax 400 Color Negative Film (35mm Roll Film, 36 Exposures)",10.99,https://static.bhphoto.com/images/images345x345/1249903176_27719.jpg,"Daylight-Balanced Color Negative Film,ISO 400/27° in C-41 Process,Rich Saturation, Optimized Skin Tones,Fine Grain, Wide Exposure Latitude",In Stock
"Kodak Professional Tri-X 400 Black and White Negative Film (35mm Roll Film, 36 Exposures)",11.99,https://static.bhphoto.com/images/images345x345/1427200723_29170.jpg,"Panchromatic B&W Negative Film,ISO 400/27° in Standard Process,Fine Grain and High Sharpness,Wide Exposure Latitude",In Stock
"CineStill Film 400Dynamic Color Negative Film (35mm Roll Film, 36 Exposures)",15.99,https://static.bhphoto.com/images/images345x345/1651486900_1702256.jpg,"Versatile Color Negative Film,ISO 400 in Standard Process",In Stock
"Kentmere Pan 400 Black and White Negative Film (35mm Roll Film, 36 Exposures)",6.5,https://static.bhphoto.com/images/images345x345/1657731926_601021.jpg,"Panchromatic B&W Negative Film,ISO 400/27° in Standard Process,Fine Grain and Good Sharpness,Broad Tonal and Contrast Range",In Stock
"Kodak Professional T-Max 400 Black and White Negative Film (35mm Roll Film, 36 Exposures)",10.99,https://static.bhphoto.com/images/images345x345/1603382719_29139.jpg,"Panchromatic B&W Negative Film,ISO 400/27° in Standard Process,Very Fine Grain, T-GRAIN Emulsion,High Sharpness and Edge Detail",In Stock
"Kodak Professional Ektachrome E100 Color Transparency Film (35mm Roll Film, 36 Exposures)",21.99,https://static.bhphoto.com/images/images345x345/1538663766_274846.jpg,"Daylight-Balance Color Transparency Film,ISO 100/21° in E-6 Process,Extremely Fine Grain Structure,Vibrant Colors and Low D-Min",In Stock
"Arista EDU Ultra 400 Black and White Negative Film (35mm Roll Film, 36 Exposures)",5.99,https://static.bhphoto.com/images/images345x345/1678799722_1190995.jpg,"Panchromatic B&W Negative Film,400/27° in Standard Process,Fine Grain and High Sharpness,Wide Exposure Latitude",In Stock
"FUJIFILM 400 Color Negative Film (35mm, 36 Exposures)",8.39,https://static.bhphoto.com/images/images345x345/1679566253_1759047.jpg,"Consistent and Accurate Colors,ISO 400/27° in C-41 process,Rich Saturation, Optimized Skin Tones,Fine Grain, Wide Exposure Latitude",In Stock
"Ilford HP5 Plus Black and White Negative Film (35mm Roll Film, 24 Exposures)",7.95,https://static.bhphoto.com/images/images345x345/1657730125_24741.jpg,"Panchromatic B&W Negative Film,ISO 400/27° in Standard Process,Wide Exposure Latitude, Medium Contrast,Ideal for Mixed Lighting and General Use",In Stock
"Kentmere Pan 100 Black and White Negative Film (35mm Roll Film, 36 Exposures)",5.92,https://static.bhphoto.com/images/images345x345/1657731926_601035.jpg,"Panchromatic B&W Negative Film,ISO 100/21° in Standard Process,Fine Grain and High Sharpness,Broad Tonal Range",In Stock
"Ilford Delta 3200 Professional Black and White Negative Film (35mm Roll Film, 36 Exposures)",14.95,https://static.bhphoto.com/images/images345x345/1657731926_142802.jpg,"Panchromatic B&W Negative Film,ISO 3200/36° in Standard Process,High Speed, Very Wide Exposure Latitude,Ideal for Difficult Lighting Conditions",In Stock
"Wolfen NC400 Color Negative Film (35mm Roll Film, 36 Exposures)",11.99,https://static.bhphoto.com/images/images345x345/1676028327_1749596.jpg,"Daylight-Balanced Color Negative Film,ISO 400/27° in C-41 Process,Desaturated Shadows,Subtle Grain",In Stock
"Kodak Professional T-Max P3200 Black and White Negative Film (35mm Roll Film, 36 Exposures)",12.99,https://static.bhphoto.com/images/images345x345/1603382719_29146.jpg,"Panchromatic B&W Negative Film,ISO 3200/36° in Standard Process,Fine Grain, T-GRAIN Emulsion,High Sharpness and Edge Detail",In Stock
"CineStill Film 50Daylight Xpro C-41 Color Negative Film (35mm Roll Film, 36 Exposures)",14.99,https://static.bhphoto.com/images/images345x345/1420726836_1110318.jpg,"Daylight-Balanced Color Negative Film,ISO 50/18° in C-41 or ECN-2 Process,""Premoval"" of Rem-Jet Layer,Unique Halation Effect",In Stock
"FUJIFILM 200 Color Negative Film (35mm Roll Film, 36 Exposures)",8.99,https://static.bhphoto.com/images/images345x345/1644398439_1681581.jpg,"Daylight-Balanced Color Negative Film,ISO 200/24° in C-41 Process,Fine Grain and High Sharpness,Wide Exposure Latitude",In Stock
"Ilford FP4 Plus Black and White Negative Film (35mm Roll Film, 36 Exposures)",9.5,https://static.bhphoto.com/images/images345x345/1657730125_24661.jpg,"Panchromatic B&W Negative Film,ISO 125/22° in Standard Process,Fine Grain, High Acutance and Sharpness,Very Wide Exposure Latitude",In Stock
"Arista EDU Ultra 200 Black and White Negative Film (35mm Roll Film, 36 Exposures)",5.99,https://static.bhphoto.com/images/images345x345/1678799722_1190990.jpg,"Panchromatic B&W Negative Film,200/24° in Standard Process,Fine Grain and High Sharpness,Wide Exposure Latitude",In Stock
"Rollei Infrared 400 Black and White Negative Film (35mm Roll Film, 36 Exposures)",9.99,https://static.bhphoto.com/images/images345x345/1436800045_1139495.jpg,"IR-Sensitive Panchromatic B&W Neg. Film,ISO 400/27° without Filtration,650-750nm Infrared Sensitivity Range,Very Wide Exposure Latitude",In Stock
"Kodak Professional T-Max 100 Black and White Negative Film (35mm Roll Film, 36 Exposures)",10.99,https://static.bhphoto.com/images/images345x345/1249903955_29124.jpg,"Panchromatic B&W Negative Film,ISO 100/21° in Standard Process,Very Fine Grain, T-GRAIN Emulsion,High Sharpness and Resolving Power",In Stock
"Ilford Delta 100 Professional Black and White Negative Film (35mm Roll Film, 36 Exposures)",11.99,https://static.bhphoto.com/images/images345x345/1657731013_108310.jpg,"Panchromatic B&W Negative Film,ISO 100/21° in Standard Process,Very High Sharpness and Fine Grain,Core-Shell Crystal Technology",In Stock
"Ilford Delta 400 Professional Black and White Negative Film (35mm Roll Film, 36 Exposures)",12.5,https://static.bhphoto.com/images/images345x345/1657730795_24624.jpg,"Panchromatic B&W Negative Film,ISO 400/27° in Standard Process,Fine Grain and High Sharpness,Core-Shell Crystal Technology",In Stock
"Arista EDU Ultra 100 Black and White Negative Film (35mm Roll Film, 36 Exposures)",5.89,https://static.bhphoto.com/images/images345x345/1678799722_1190984.jpg,"Panchromatic B&W Negative Film,100/21° in Standard Process,Fine Grain and High Sharpness,Wide Exposure Latitude",In Stock
"Kentmere Pan 400 Black and White Negative Film (35mm Roll Film, 24 Exposures)",5.29,https://static.bhphoto.com/images/images345x345/1657731926_601023.jpg,"Panchromatic B&W Negative Film,ISO 400/27° in Standard Process,Fine Grain and Good Sharpness,Broad Tonal and Contrast Range",In Stock
"Kodak Professional Tri-X 400 Black and White Negative Film (35mm Roll Film, 24 Exposures)",9.99,https://static.bhphoto.com/images/images345x345/1259927385_29168.jpg,"Panchromatic B&W Negative Film,ISO 400/27° in Standard Process,Fine Grain and High Sharpness,Wide Exposure Latitude",In Stock
